ioc151_species_id,common_name,scientific_name,clements_ebird2024_name,order_name,family_clements_ebird2024,genus_name,species_epithet,avg_mass,elevation_min_m,normalized_elevation_min_m,normalized_elevation_max_m,elevation_max_m,forest_habitat_rank,bushland_or_mosaic_habitat_rank,woodland_habitat_rank,shrubland_habitat_rank,savanna_habitat_rank,grassland_habitat_rank,plains_habitat_rank,rocky_habitat_rank,desert_habitat_rank,artificial_habitat_rank,riparian_habitat_rank,coastal_habitat_rank,wetland_habitat_rank,seabird_marine_habitat_rank,other_habitat_rank,other_habitat_description,primary_habitat,behavior_colonial,behavior_social,behavior_pairs_or_family,behavior_singly_and_pairs
244,Cape Barren Goose,Cereopsis novaehollandiae,Cereopsis novaehollandiae,Anseriformes,Anatidae,Cereopsis,novaehollandiae,3816.6666666666665,NA,0,L,NA,NA,NA,NA,1,NA,2,NA,NA,NA,4,NA,3,4,NA,NA,NA,Shrub,0,1,0,1
247,Brent Goose,Branta bernicla,Branta bernicla,Anseriformes,Anatidae,Branta,bernicla,1335,NA,0,L,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,2,4,NA,NA,NA,Grassland,1,0,0,0
252,Red-breasted Goose,Branta ruficollis,Branta ruficollis,Anseriformes,Anatidae,Branta,ruficollis,1253.25,NA,0,500,NA,NA,NA,NA,1,NA,2,NA,NA,NA,3,NA,NA,4,NA,NA,NA,Shrub,1,0,1,1
253,Hawaiian Goose,Branta sandvicensis,Branta sandvicensis,Anseriformes,Anatidae,Branta,sandvicensis,2150,NA,0,2700,NA,NA,NA,NA,1,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Shrub,0,0,0,1
254,Canada Goose,Branta canadensis,Branta canadensis,Anseriformes,Anatidae,Branta,canadensis,4906.5999999999995,NA,0,2000,NA,NA,NA,8,7,NA,4,6,NA,NA,2,5,3,1,NA,NA,NA,Wetland,1,0,0,0
262,Barnacle Goose,Branta leucopsis,Branta leucopsis,Anseriformes,Anatidae,Branta,leucopsis,1685,NA,0,1000,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,5,4,3,NA,NA,NA,Grassland,1,0,0,0
263,Cackling Goose,Branta hutchinsii,Branta hutchinsii,Anseriformes,Anatidae,Branta,hutchinsii,1801.8,NA,0,2000,NA,NA,NA,NA,NA,NA,1,NA,5,NA,2,4,NA,3,NA,NA,NA,Grassland,1,0,0,1
269,Bar-headed Goose,Anser indicus,Anser indicus,Anseriformes,Anatidae,Anser,indicus,2288,NA,0,5300,6000,NA,NA,NA,NA,NA,4,NA,3,NA,NA,2,5,1,NA,NA,NA,Wetland,1,0,0,0
270,Emperor Goose,Anser canagicus,Anser canagicus,Anseriformes,Anatidae,Anser,canagicus,2300.4499999999998,NA,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,Coastal,0,1,1,1
271,Ross's Goose,Anser rossii,Anser rossii,Anseriformes,Anatidae,Anser,rossii,1513.5,NA,0,2500,NA,NA,NA,NA,3,NA,NA,NA,2,NA,4,NA,NA,1,NA,NA,NA,Wetland,1,0,0,0
272,Snow Goose,Anser caerulescens,Anser caerulescens,Anseriformes,Anatidae,Anser,caerulescens,2561,NA,0,2500,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,5,4,2,NA,NA,NA,Grassland,1,1,1,1
275,Greylag Goose,Anser anser,Anser anser,Anseriformes,Anatidae,Anser,anser,3297.5,NA,0,2300,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,4,1,NA,NA,NA,Wetland,1,0,0,0
278,Swan Goose,Anser cygnoid,Anser cygnoides,Anseriformes,Anatidae,Anser,cygnoid,3343.75,NA,0,450,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,4,3,NA,1,NA,NA,NA,Wetland,0,0,1,0
279,Taiga Bean Goose,Anser fabalis,Anser fabalis,Anseriformes,Anatidae,Anser,fabalis,3115,NA,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,1,NA,NA,NA,Wetland,0,0,1,0
284,Pink-footed Goose,Anser brachyrhynchus,Anser brachyrhynchus,Anseriformes,Anatidae,Anser,brachyrhynchus,2590,NA,0,700,NA,NA,NA,NA,NA,NA,1,NA,2,NA,4,NA,3,NA,NA,NA,NA,Grassland,1,0,0,0
286,Tundra Bean Goose,Anser serrirostris,Anser serrirostris,Anseriformes,Anatidae,Anser,serrirostris,2540,NA,0,2000,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,1,NA,NA,NA,Wetland,NA,NA,NA,NA
289,Greater White-fronted Goose,Anser albifrons,Anser albifrons,Anseriformes,Anatidae,Anser,albifrons,2471,NA,0,2500,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,3,4,2,NA,NA,NA,Grassland,0,0,1,0
