"Common_name","Scientific_name","Family_description","Family","Order","Sex","all_color"
"Asian Rosy-finch","Leucosticte_arctoa","Finches and Hawaiian honeycreepers","Fringillidae","Passeriformes","F","brownish gray, dark brown, dark gray, dark rufous, gray, medium-dark brown, medium-dark orange-buff, medium-dark rufous"
"Atlantic Puffin","Fratercula_arctica","Auks","Alcidae","Charadriiformes","F","brownish gray, dark gray, gray, pale gray"
"Auckland Islands Teal","Anas_aucklandica","Ducks, geese and swans","Anatidae","Anseriformes","M","brownish gray, dark rufous, gray, medium-dark rufous, medium-dark yellow-buff"
"Audubon's Oriole","Icterus_graduacauda","New World blackbirds","Icteridae","Passeriformes","F","gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Audubon's Oriole","Icterus_graduacauda","New World blackbirds","Icteridae","Passeriformes","M","gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream"
"Audubon's Shearwater","Puffinus_lherminieri","Petrels and shearwaters","Procellariidae","Procellariiformes","M","dark gray, gray"
"Australasian Bittern","Botaurus_poiciloptilus","Herons and egrets","Ardeidae","Pelecaniformes","M","brownish gray, dark gray, gray, medium yellow-buff, medium-dark yellow-buff"
"Australasian Gannet","Morus_serrator","Gannets and boobies","Sulidae","Suliformes","M","gray, medium cream, medium yellow-buff, pale cream"
"Australasian Grebe","Tachybaptus_novaehollandiae","Grebes","Podicipedidae","Podicipediformes","F","black, brownish gray, dark gray, gray, pale gray"
"Australasian Pipit","Anthus_novaeseelandiae","Wagtails and pipits","Motacillidae","Passeriformes","F","brownish gray, dark gray, dark yellow-buff, gray, medium cream, medium-dark yellow-buff, pale gray"
"Australasian Shoveler","Anas_rhynchotis","Ducks, geese and swans","Anatidae","Anseriformes","F","black, blue, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium yellow-buff, medium-dark orange-buff, medium-dark rufous, medium-dark yellow-buff, olive-gray"
"Australian Brush-turkey","Alectura_lathami","Megapodes","Megapodiidae","Galliformes","F","brownish gray, dark gray, gray, medium-dark yellow-buff"
"Australian King-parrot","Alisterus_scapularis","Parrots","Psittacidae","Psittaciformes","F","dark brown, dark gray, dark olive, dark yellow-buff, gray, medium green, medium-dark brown, medium-dark green, medium-dark olive, medium-dark rufous, medium-dark yellow-buff, olive-gray, very dark olive"
"Australian Logrunner","Orthonyx_temminckii","Logrunners","Orthonychidae","Passeriformes","F","black, brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff, very dark yellow-buff"
"Australian Magpie","Gymnorhina_tibicen","Butcherbirds","Cracticidae","Passeriformes","F","black, dark gray, gray, pale gray"
"Australian Pratincole","Stiltia_isabella","Coursers and pratincoles","Glareolidae","Charadriiformes","F","brownish gray, dark gray, dark rufous, dark yellow-buff, gray, medium-dark rufous, medium-dark yellow-buff"
"Australian Raven","Corvus_coronoides","Crows and jays","Corvidae","Passeriformes","F","black, blue, dark gray, gray"
"Australian Reed-warbler","Acrocephalus_australis","Old World warblers","Sylviidae","Passeriformes","M","brownish gray, dark yellow-buff, gray, medium cream, medium yellow-buff, medium-dark yellow-buff"
"Australian Wood Duck","Chenonetta_jubata","Ducks, geese and swans","Anatidae","Anseriformes","F","black, brownish gray, dark gray, gray, pale gray"
"Azure Kingfisher","Alcedo_azurea","Kingfishers","Alcedinidae","Coraciiformes","M","blue, medium yellow-buff, medium-dark brown, medium-dark rufous, medium-dark yellow-buff"
"Azure-breasted Pitta","Pitta_steerii","Pittas","Pittidae","Passeriformes","F","dark gray, gray, light blue, medium green, medium-dark green, medium-dark olive, medium-dark orange-buff, medium-dark rufous"
"Azure-breasted Pitta","Pitta_steerii","Pittas","Pittidae","Passeriformes","M","black, dark gray, gray, light blue, medium green, medium-dark brown, medium-dark olive, medium-dark rufous, medium-dark yellow-buff, pale gray, pale green"
"Azure-rumped Tanager","Tangara_cabanisi","Tanagers","Thraupidae","Passeriformes",NA,"dark gray, gray, medium cream, medium green, medium yellow-buff, medium-dark yellow-buff, olive-gray, pale green"
"Azure-shouldered Tanager","Thraupis_cyanoptera","Tanagers","Thraupidae","Passeriformes","M","blue, brownish gray, dark gray, dark olive, gray, medium-dark green, medium-dark olive, medium-dark yellow-buff, olive-gray"
"Babbling Starling","Neocichla_gutturalis","Starlings","Sturnidae","Passeriformes","M","brownish gray, dark gray, gray, medium cream, medium yellow-buff, medium-dark yellow-buff, pale cream, pale gray"
"Bachman's Sparrow","Aimophila_aestivalis","Buntings, American sparrows and allies","Emberizidae","Passeriformes","F","dark rufous, gray, medium-dark yellow-buff"
"Bachman's Sparrow","Aimophila_aestivalis","Buntings, American sparrows and allies","Emberizidae","Passeriformes","M","brownish gray, dark rufous, gray, medium-dark yellow-buff"
